row;referenced_author;referenced_author_id;referenced_work_id;referenced_source_id;
1179;Hoijer, Harry;31225;41263;NULL;
1180;Beals, Alan R.;31226;41263;NULL;
1181;Carneiro, Robert L.;31227;41264;60396;
1182;Coe, Michael D.;31228;41265;NULL;
1183;Driver, G. H.;31229;41266;NULL;
1184;Miles, John C.;31230;41266;NULL;
1185;Ember, Carol R.;31231;41267;NULL;
1186;Ember, Melvin;31232;41267;NULL;
1187;Erdheim, Mario;31233;41268;NULL;
1188;Fernandez, J.;31234;41269;NULL;
1189;Fish, T.;31235;41270;60397;
1190;Hawkes, Jaquetta;30489;41271;60398;
1191;Hoebel, E. Adamson;31236;41272;NULL;
1192;Frost, Everett L.;31237;41272;NULL;
1193;Jacobson, Thorkild;31238;41273;60399;
1194;Jacobson, Thorkild;31238;41274;NULL;
1195;Kramer, Samuel Noah;30492;41275;NULL;
1196;Kramer, Samuel Noah;30492;41276;NULL;
1197;Mason, Herbert;31239;41277;NULL;
1198;Morgan, Lewis Henry;31240;41278;NULL;
1199;Pelto, Gretel B.;31241;41279;NULL;
1200;Pelto, P. J.;31242;41279;NULL;
1201;Peterson, Frederick A.;31243;41280;NULL;
1202;Phillips, P.;31244;41281;60400;
1203;Reed, Charles A.;31245;41282;60401;
1204;Rohrlich-Leavitt, Ruby;30613;41283;60402;
1205;Roux, Georges;31246;41284;NULL;
1206;Sahagun, B.;31247;41285;NULL;
1207;Sanders, N. K.;31248;41286;NULL;
1208;Sejourne, Laurette;31249;41287;NULL;
1209;Seler, E.;31250;41288;NULL;
1210;Soustelle, J.;31251;41289;NULL;
1211;Thomson, George;31252;41290;NULL;
1212;Vaillant, G. G.;31253;41291;NULL;
1213;Woolley, C. Leonard;31254;41292;NULL;
1214;Morgin, Robin;31255;41293;60403;
1215;Bryant, Dorothy;31256;41294;NULL;
1216;Piercy, Marge;31257;41295;NULL;
1217;Staton, Mary;31258;41296;NULL;
1218;Pearson, Carol;31259;41297;NULL;
1219;Gilman, Charlotte Perkins;31260;41298;NULL;
1220;Russ, Joanna;31261;41299;NULL;
1221;Capra, Fritjof;31262;41300;;
1222;Blauner, Robert;30022;40011;NULL;
1223;Butler, Octavia;30023;40012;NULL;
1224;Galeano, Eduardo;30024;40013;NULL;
1225;Guillen, Nicolas;30025;40014;NULL;
1226;Hooks, Bell;30026;40015;NULL;
1227;Leon-Portilla, Miguel (Editor);30027;40016;NULL;
1228;Rice, C. Duncan;30028;40017;NULL;
1229;Tiger, Michael E. ;30029;40018;NULL;
1230;Levy, Madeleine R. ;30065;40018;NULL;
1231;Tuchman, Barbara;30030;40019;NULL;
1232;Zinn, Howard;30031;40020;NULL;
1233;Cliff, Michelle;30062;40061;NULL;
1234;Nemiroff, Robert;30063;40063;NULL;
1235;Smith, Lillian;30064;40064;NULL;
1236;Steson, Erlene;30057;40057;60000;
1237;Walker, Alice;30067;40067;60002;
1238;Morrison, Toni;30068;40068;NULL;
1239;Hemenway, Robert;30069;40069;NULL;
1240;Hurst, Fannie;30070;40070;NULL;
1241;Hooks, Bell;30026;40015;NULL;
1242;Davis, Angela;30071;40071;60007;
1243;Bradford, Sarah;30072;40072;NULL;
1244;Hanaford, Phebe A. ;30073;40073;NULL;
1245;Bennett, Sara;30074;40074;60011;
1246;Gibbs, Joan;30075;40074;60011;
1247;Tufts, Eleanor;30076;40075;NULL;
1248;Bible;30077;40076;NULL;
1249;Walker, Alice;30067;40077;60000;
1250;Adams, Marie Jeane;30078;40078;60015;
1251;Baxandall, Michael;30079;40079;NULL;
1252;Bank, Mirra;30080;40080;NULL;
1253;Saar, Betye;30081;40081;60017;
1254;Rodríguez, María Crístina;30101;40102;60030;
1255;Jorge, Angela;30102;40103;60031;
1256;Meyer, Doris;30103;40104;NULL;
1257;Olmos, Margarite Fernandez;30104;40104;NULL;
1258;Maldonado-Denis, Manuel;30105;40105;NULL;
1259;Moraga, Cherríe;30106;40106;NULL;
1260;Anzaldúa, Gloria;30107;40106;NULL;
1261;Barradas, Efraín;30108;40107;NULL;
1262;Rodriguez, Rafael;30109;40107;NULL;
1263;no name;30110;40108;NULL;
1264;Algarín, Miguel;30111;40109;NULL;
1265;Piñero, Miguel;30112;40109;NULL;
1266;Lyon, Gracie;30113;40110;NULL;
1267;no name;30114;40111;NULL;
1268;Winter, Sara;30115;40112;60032;
1269;no name;30116;40113;NULL;
1270;Sherover-Marcuse, Ricky;30117;40114;NULL;
1271;Somers, Bernard;30118;40115;60033;
1272;Cross, Tia;30119;40116;60034;
1273;Klein, Freada;30120;40116;60034;
1274;Smith, Barbara;30121;40116;60034;
1275;Smith, Beverly;30122;40116;60034;
1276;Ledley, Ellen;30123;40117;NULL;
1277;Moed, Lillian;30124;40117;NULL;
1278;Willis, Ellen;30241;40240;60081;
1279;Frith, Simon;30242;40241;NULL;
1280;Willis, Ellen;30241;40242;60082;
1281;Bogle, Donald;30243;40243;NULL;
1282;Dandridge, Dorothy;30244;40244;NULL;
1283;Conrad, Earl;30245;40244;NULL;
1284;Mills, Earl;30246;40245;NULL;
1285;Schiller, Herbert;30247;40246;NULL;
1286;Smythe, Dallas;30248;40247;NULL;
1287;Rich, Ruby B.;30249;40248;60083;
1288;Koch, Gertrud;30250;40249;60084;
1289;Sander, Helke;30251;40250;60084;
1290;Bovenschen, Silvia;30252;40251;60085;
1291;Bovenschen, Silvia;30252;40252;60086;
1292;Prokop, Ulrike;30253;40253;NULL;
1293;Kozarski, Richard;30254;40254;60087;
1294;McDonald, Gerald D.;30255;40255;60088;
1295;Carter, Alice;30256;40256;60089;
1296;Weber, Lois;30257;40257;60090;
1297;McGaw, Judith;30258;40258;60091;
1298;Guy, Alice;30259;40259;60092;
1299;no name;30268;40260;60093;
1300;Peltret, Elizabeth;30260;40261;60094;
1301;MacMahon, Henry;30261;40276;60097;
1302;Johnson, L. H.;30262;40277;60094;
1303;Dunning, Charles S.;30263;40278;60098;
1304;Larkin, M. L.;30264;40279;60099;
1305;Chic, Mlle.;30265;40280;60100;
1306;Malverne, Pearl;30266;40281;60101;
1307;Dyer, John Peter;30267;40282;60102;
1308;Beckett, Samuel;30279;40283;NULL;
1309;Penley, Constance;30280;40284;60103;
1310;Noll Brinckmann, Christine;30281;40285;60104;
1311;Weinbren, Grahame;30282;40285;60104;
1312;Mulvey, Laura;30283;40286;60105;
1313;Lowder, Rose;30284;40287;NULL;
1314;Dulac, Germaine;30285;40288;60106;
1315;Oakley, Ann;30286;40289;NULL;
1316;Guy, Alice;30259;40290;NULL;
1317;Guy, Alice;30259;40291;60092;
1318;Dulac, Germaine;30285;40292;60106;
1319;MacKintosh, Helen;30287;40293;NULL;
1320;James, P. D.;30288;40294;NULL;
1321;Stein, Gertrude;30289;40295;60107;
1322;Kirby, Michael;30678;40678;60212;
1323;Rainer, Yvonne;30679;40679;60213;
1324;Schneemann, Carolee;30679;40680;NULL;
1325;no name;30680;40681;60214;
1326;no name;30681;40682;NULL;
1327;no name;30682;40683;60215;
1328;Lynd, Helen;30683;40684;NULL;
1329;Lynd, Robert;30684;40684;NULL;
1330;Venturi, Robert;30685;40685;NULL;
1331;Scott Brown, Denise;30686;40685;NULL;
1332;Izenour, Steven;30687;40685;NULL;
1333;Williams, Raymond;30688;40686;NULL;
1334;Gever, Martha;30689;40687;60216;
1335;Modleski, Tania;30690;40688;NULL;
1336;Browne, Nick;30691;40689;60217;
1337;Lynd, Robert;30684;40690;60218;
1338;Hanson, Alice C.;30692;40690;60218;
1339;Montgomery, David;30693;40691;NULL;
1340;Hayden, Dolores;30694;40692;60219;
1341;Schwartz Cowan, Ruth;30695;40693;60220;
1342;Schwartz Cowan, Ruth;30695;40694;NULL;
1343;Winslow Taylor, Frederick;30696;40695;NULL;
1344;Gilbreth, Lilian;30697;40696;NULL;
1345;McHenry, Murphy;30758;40757;60239;
1346;Association of National Advertisers;30759;40758;NULL;
1347;Lowenthal, Leo;30760;40759;60240;
1348;Barthes, Roland;30761;40760;NULL;
1349;Bérubé, Alan;30762;40761;60241;
1350;Archibald, Katherine;30763;40762;NULL;
1351;Anderson, Karen;30764;40763;NULL;
1352;Honey, Maureen;30765;40764;60242;
1353;Hoare, Quintin;30766;40765;NULL;
1354;Nowell-Smith, Geoffrey;30767;40765;NULL;
1355;Dyer, Richard;30768;40766;60243;
1356;Lake, Veronica;30769;40767;60244;
1357;Radway, Janice;30770;40768;NULL;
1358;Radway, Janice;30770;40769;60245;
1359;Light, Alison;30771;40770;60246;
1360;Rainwater, Lee;30772;40771;NULL;
1361;Lovell, Terry;30773;40772;60247;
1362;Lessing, Doris;30905;40907;NULL;
1363;Greenham Women;30906;40908;NULL;
1364;Harford, Barbara;30907;40909;NULL;
1365;Hopkins, Sarah;30908;40909;NULL;
1366;Greenham Women;30906;40910;60281;
1367;Snitwo, Ann;30909;40911;60282;
1368;Lynchecomb;30910;40912;NULL;
1369;Kelly, Petra;30911;40913;NULL;
1370;Lippard, Lucy R.;30189;40914;NULL;
1371;Jones, Lynne;30912;40915;NULL;
1372;Prigogine, ILya;30913;40916;NULL;
1373;Stengers, Isabelle;30914;40916;NULL;
1374;Woolf, Virginia;30199;40917;NULL;
1375;Campbell, Beatric;30915;40918;NULL;
1376;Whisker, Brenda;30916;40919;NULL;
1377;Bishop, Jacky;30917;40919;NULL;
1378;Mohin, Lilian;30918;40919;NULL;
1379;Longdon, Trish;30919;40919;NULL;
1380;Cook, Alice;30920;40920;NULL;
1381;Kirk, Gwyn;30921;40920;NULL;
1382;Wallgrove, Ruth;30922;40921;60283;
1383;Chester, Gail;30923;40922;NULL;
1384;De Beauvoir, Simone;30007;40033;NULL;
1385;Schell, Jonathan;30924;40923;NULL;
1386;Strange, Penny;30925;40924;NULL;
1387;Atkinson, Rick;30926;40925;60284;
1388;Mather, Ian;30927;40926;60285;
1389;Redclift, Michael;30928;40927;NULL;
1390;Greenham Women;30906;40908;NULL;
1391;Arendt, Hannah;30196;40928;NULL;
1392;Cambridge Women´s Peace Collective;30929;40929;NULL;
1393;Percy, Charles;30930;40930;NULL;
1394;Humphrey, Caroline;30931;40931;60286;
1395;Yudkin, John;30932;40932;NULL;
1396;Simoons, Frederick;30933;40933;NULL;
1397;Levi-Strauus, Claude;30934;40934;NULL;
1398;Douglas, Mary;30396;40935;NULL;
1399;Douglas, Mary;30396;40936;NULL;
1400;Harris, Marvin;30936;40937;NULL;
1401;Harrington, Judith;30937;40938;60287;
1402;O´Laughlin, Bridget;30938;40939;60288;
1403;Schlegel, Alice;30939;40940;NULL;
1404;Huston, Perdita;30940;40941;NULL;
1405;Root, Waverly;30961;40965;NULL;
1406;de Rochemont, Richard;30962;40965;NULL;
1407;Leghorn, Lisa;30963;40966;NULL;
1408;Roodkowsky, Mary;30964;40966;NULL;
1409;Shearer, Lloyd;30965;40967;60300;
1410;Baring-Gould, William;30966;40968;NULL;
1411;Baring-Gould, Ceil;30967;40968;NULL;
1412;Cady Stanton, Elizabeth;30968;40969;NULL;
1413;Simoons, Frederick;30933;40933;NULL;
1414;O´Laughlin, Bridget;30938;40970;60288;
1415;Smith, Edward;30969;40971;NULL;
1416;Pember Reaves, Maud;30970;40972;NULL;
1417;Hamilton, Cicely;30971;40973;NULL;
1418;Savitt, Todd L.;30972;40974;NULL;
1419;Altschul, Aaron M.;30973;40975;NULL;
1420;Hunscher, Helen;30974;40976;NULL;
1421;Huyck, Margerita;30975;40976;NULL;
1422;Berry, Rynn;30976;40977;NULL;
1423;Douglas, Mary;30396;40978;60301;
1424;Morgan, Marabel;30977;40979;NULL;
1425;McCarthy, Mary;30978;40980;NULL;
1426;Dobash, R. Emerson;30979;40981;NULL;
1427;Dobash, Russell;30980;40981;NULL;
1428;Pizey, Erin;30981;40982;NULL;
1429;Whorton, James C.;30982;40983;60302;
1430;no name;31035;41047;NULL;
1431;Diamond, Stanley;31036;41048;NULL;
1432;Gioseffi, Daniela;31037;41049;NULL;
1433;Marglin, Frederique;31038;41050;NULL;
1434;Gourlay, K. A.;31039;41051;60314;
1435;Walker, Barbara;31040;41052;NULL;
1436;Kimball, Gayle;31041;41053;NULL;
1437;Yinger, J.M.;31042;41054;NULL;
1438;Roseman, Marina;31043;41055;60315;
1439;Feld, Stephen;31044;41056;60315;
1440;Tatar, Elizabeth;31045;41057;NULL;
1441;Hamel, Peter Michael;30941;40942;NULL;
1442;Snow, Lois Wheeler;31046;41062;NULL;
1443;Beldon, Jack;31047;41063;60316;
1444;Macciochi, Maria;31048;41064;60316;
1445;Pen, Chi;31049;41065;NULL;
1446;Hunter, Iris;31050;41066;NULL;
1447;Ebon, Martin;31056;41067;NULL;
1448;Miller, Alice;31104;41122;NULL;
1449;Ovid;30005;41123;NULL;
1450;Hermann, Judith;31105;41124;NULL;
1451;Rich, Adrienne;30191;41125;NULL;
1452;Carmen, Elaine;31106;41126;60344;
1453;Kirsteva, Julia;31263;41301;NULL;
1454;Moi, Toril;31264;41302;NULL;
1455;Irigary, Luce;31265;41303;60404;
1456;Gilbert, Sandra;31097;41110;NULL;
1457;Gubar, Susan;31098;41110;NULL;
1458;Parker, Roszika;31266;41304;NULL;
1459;Pollock, Griselda;31267;41304;NULL;
1460;Irigary, Luce;31265;41305;NULL;
1461;Schor, Naomi;31268;41306;NULL;
1462;Heartney, Eleonore;31269;41307;NULL;
1463;Ozick, Cynthia;31270;41308;NULL;
1464;Kuspit, Donald B.;30857;41309;60405;
1465;Chadwick, Whitney;31271;41310;NULL;
1466;Ecker, Gisela;31272;41311;NULL;
1467;Parker, Roszika;31266;41304;NULL;
1468;Pollock, Griselda;31267;41304;NULL;
1469;Weedon, Chris;31273;41312;NULL;
1470;Moi, Toril;31264;41302;NULL;
1471;Tickner, Lisa;31274;41313;NULL;
1472;Tolstaya, Tatyana;31275;41314;60406;
1473;Michgelsen, Pauline;31276;41315;60407;
1474;Parker, Roszika;31266;41304;NULL;
1475;Pollock, Griselda;31267;41304;NULL;
1476;Pollock, Griselda;31267;41316;60408;
1477;Alpern Engel, Barbara;31277;41317;NULL;
1478;Goncharova, Natalya;31278;41318;60409;
1479;Pollock, Griselda;31267;41319;NULL;
1480;Vachtova, Ludmilla;31279;41320;60410;
1481;Hilton, Alison;31280;41321;60411;
1482;Sobko, N.P.;31281;41322;NULL;
1483;Alchuk, Anna;31282;41323;60407;
1484;du Plessix Gray, Francine;31283;41324;NULL;
1485;Khanga, Yelena;31284;41325;60412;
1486;Nochlin, Linda;30308;41326;60272;
1487;Gimenez, Martha E.;31285;41327;60413;
1488;no name;31286;41328;60414;
1489;no name;31287;41329;60415;
1490;no name;31288;41330;60416;
1491;Thompson, Vincent Bakpetu;31289;41331;NULL;
1492;Campbell, Mavis;31289;41332;NULL;
1493;Price, Richard;31290;41333;NULL;
