row;work_title;work_id;referenced_author_id;referenced_work_id;referenced_source_id;Traditional/non Traditional boolean;;
66;Torture in Chile;20046;NULL;NULL;NULL;FALSE;;
67;the empress anastasia in new york;20047;NULL;NULL;NULL;FALSE;;
68;Dead in Bloody Snow;20048;NULL;NULL;NULL;FALSE;;
69;Notes From the First Year (for my sisters, a trilogy of revolution);20049;NULL;NULL;NULL;FALSE;;
70;Seagull;20051;NULL;NULL;NULL;FALSE;;
71;Little Eagle Spreads Her Wings;20052;NULL;NULL;NULL;FALSE;;
72;Spring Plowing;20053;NULL;NULL;NULL;FALSE;;
73;Women Hold Up Half the Sky;20054;NULL;NULL;NULL;FALSE;;
74;Feminist Abstract Art – A Political Viewpoint;20055;30036;40037;60010;TRUE;;
75;Feminist Abstract Art – A Political Viewpoint;20055;30037;40037;NULL;TRUE;;
76;Feminist Abstract Art – A Political Viewpoint;20055;30038;40038;60014;TRUE;;
77;Feminist Abstract Art – A Political Viewpoint;20055;30039;40039;60012;TRUE;;
78;Feminist Abstract Art – A Political Viewpoint;20055;30040;40040;60013;TRUE;;
79;Feminist Abstract Art – A Political Viewpoint;20055;30041;40041;NULL;TRUE;;
80;Feminist Abstract Art – A Political Viewpoint;20055;30042;40042;NULL;TRUE;;
81;Feminist Abstract Art – A Political Viewpoint;20055;30043;40043;NULL;TRUE;;
82;Split Scribble;20056;NULL;NULL;NULL;FALSE;;
83;Angry Harmony;20057;NULL;NULL;NULL;FALSE;;
84;Small Symphony for Women II;20058;NULL;NULL;NULL;FALSE;;
85;"""Female Experience in Art"": The Impact of Women's Art in a Work Environment";20059;30044;40044;NULL;TRUE;;
86;"""Female Experience in Art"": The Impact of Women's Art in a Work Environment";20059;30045;40045;NULL;TRUE;;
87;"""Female Experience in Art"": The Impact of Women's Art in a Work Environment";20059;30046;40064;NULL;TRUE;;
88;Putti;20060;NULL;NULL;NULL;FALSE;;
89;"An Homage to Lily Bart, from Edith Wharton's ""House of Mirth""";20061;NULL;NULL;NULL;FALSE;;
90;Chrysalis II;20062;NULL;NULL;NULL;FALSE;;
91;Rape Is;20063;NULL;NULL;NULL;FALSE;;
92;Edge of Night;20064;NULL;NULL;NULL;FALSE;;
93;Cracking Up;20065;NULL;NULL;NULL;FALSE;;
94;Shattered Dreams;20066;NULL;NULL;NULL;FALSE;;
95;Death of Patriarchy/Heresies;20067;NULL;NULL;NULL;FALSE;;
96;A Pink Strip;20068;NULL;NULL;NULL;FALSE;;
97;The Pink Glass Swan: Upward and Downward Mobility in the Art World;20069;30082;40082;NULL;TRUE;;
98;The Pink Glass Swan: Upward and Downward Mobility in the Art World;20069;30083;40082;NULL;TRUE;;
99;The Pink Glass Swan: Upward and Downward Mobility in the Art World;20069;30047;40047;60018;TRUE;;
100;The Pink Glass Swan: Upward and Downward Mobility in the Art World;20069;30048;40048;NULL;TRUE;;
101;The Pink Glass Swan: Upward and Downward Mobility in the Art World;20069;30049;40049;60019;TRUE;;
102;The Pink Glass Swan: Upward and Downward Mobility in the Art World;20069;30050;40050;NULL;TRUE;;
103;Chicago Mannequin;20070;NULL;NULL;NULL;FALSE;;
104;Juggling Contradictions: Feminism, the Individual and What's Left;20071;30051;40051;60020;TRUE;;
105;Juggling Contradictions: Feminism, the Individual and What's Left;20071;30050;40050;NULL;TRUE;;
106;Juggling Contradictions: Feminism, the Individual and What's Left;20071;30052;40052;NULL;TRUE;;
107;Juggling Contradictions: Feminism, the Individual and What's Left;20071;30053;40053;NULL;TRUE;;
108;Juggling Contradictions: Feminism, the Individual and What's Left;20071;30054;40054;60021;TRUE;;
109;Juggling Contradictions: Feminism, the Individual and What's Left;20071;30055;40055;NULL;TRUE;;
110;Juggling Contradictions: Feminism, the Individual and What's Left;20071;30056;40056;NULL;TRUE;;
111;from: Union Maids;20072;NULL;NULL;NULL;FALSE;;
112;Look Rich;20074;NULL;NULL;NULL;FALSE;;
113;"Goal Bosses; Not Workers";20075;NULL;NULL;NULL;FALSE;;
114;Sometimes We Do Offend, Girls;20076;NULL;NULL;NULL;FALSE;;
115;Moratorium: Front Lawn: 1970;20077;NULL;NULL;NULL;FALSE;;
116;Twins and Janet;20079;NULL;NULL;NULL;FALSE;;
117;Puerto Rican Day Parade;20078;NULL;NULL;NULL;FALSE;;
118;Who Are We? What Do We Want? What Do We Do?;20080;NULL;NULL;NULL;TRUE;;
119;On Women's Refusal to Celebrate Male Creativity;20081;NULL;NULL;NULL;TRUE;;
120;What is Left?;20082;NULL;NULL;NULL;FALSE;;
121;Around Coming Around-- a performance;20083;NULL;NULL;NULL;FALSE;;
122;Wages for Housework: The Strategy for Women's Liberation;20084;NULL;NULL;NULL;TRUE;;
123;Still Ain't Satisfied;20086;NULL;NULL;NULL;FALSE;;
124;Workspaces;20087;NULL;NULL;NULL;FALSE;;
125;In Her Image;20088;NULL;NULL;NULL;TRUE;;
126;Pink;20089;NULL;NULL;NULL;FALSE;;
127;Four Square;20090;NULL;NULL;NULL;FALSE;;
128;Papilla Estelar;20091;NULL;NULL;NULL;FALSE;;
129;Bittersweet;20092;NULL;NULL;NULL;FALSE;;
130;Crazy Quilt;20093;NULL;NULL;NULL;FALSE;;
131;Consciousnes-raising Group;20094;NULL;NULL;NULL;FALSE;;
132;Las Dos Fridas;20095;NULL;NULL;NULL;FALSE;;
133;What is the secret place inside of me that has held a tear for so long?;20096;NULL;NULL;NULL;FALSE;;
134;Skin: Shadows;21584;NULL;NULL;NULL;FALSE;;
135;Web;20097;NULL;NULL;NULL;FALSE;;
136;Delay Delay;20098;NULL;NULL;NULL;FALSE;;
137;Inside/Out: A Return to My Body;20099;30058;40058;60022;TRUE;;
138;Inside/Out: A Return to My Body;20099;30059;40059;60023;TRUE;;
139;Inside/Out: A Return to My Body;20099;30060;40059;;TRUE;;
140;Inside/Out: A Return to My Body;20099;30058;40060;60024;TRUE;;
141;Inside/Out: A Return to My Body;20099;30061;40062;;TRUE;;
142;1st Issue Collective Statement;21585;NULL;NULL;;TRUE;;
143;2nd Issue Collective Statement;21586;NULL;NULL;;TRUE;;
144;Inside/Out: A Return to My Body;20099;30084;40083;60025;TRUE;;
145;Inside/Out: A Return to My Body;20099;30085;40084;60026;TRUE;;
146;Inside/Out: A Return to My Body;20099;30086;40085;NULL;TRUE;;
147;Inside/Out: A Return to My Body;20099;30087;40086;NULL;TRUE;;
148;Feminists and Non-Feminists in Psychotherapy;20100;NULL;NULL;NULL;TRUE;;
149;Connection;20101;NULL;NULL;NULL;FALSE;;
150;Souvenirs;20102;NULL;NULL;NULL;FALSE;;
151;Body, Space, and Personal Ritual;20103;NULL;NULL;NULL;FALSE;;
152;3 Short Fictions;20104;NULL;NULL;NULL;FALSE;;
153;Letter Utterings;20105;NULL;NULL;NULL;FALSE;;
154;Mea Culpa;20106;NULL;NULL;NULL;FALSE;;
155;Wooden Shacks on Stilts with Platform;20108;NULL;NULL;NULL;FALSE;;
156;Detail of Spotted Bundle Enclosure;20109;NULL;NULL;NULL;FALSE;;
157;Ecological Environment;20110;NULL;NULL;NULL;FALSE;;
158;The Compulsion Room (wall) and Desire for Death in Silvery World (foreground);20111;NULL;NULL;NULL;FALSE;;
159;The House at Night;20112;NULL;NULL;NULL;FALSE;;
160;Cicada;20113;NULL;NULL;NULL;FALSE;;
161;Cuernavaca;20114;NULL;NULL;NULL;FALSE;;
162;Project: Initiation Space No. 1;20115;NULL;NULL;NULL;FALSE;;
163;Recreation of My Commuter Routes on the Penn Central R.R.;20116;NULL;NULL;NULL;FALSE;;
164;Stephen Long;20117;NULL;NULL;NULL;FALSE;;
165;Night Light;20118;NULL;NULL;NULL;FALSE;;
166;A View of My New York Apartment;20119;NULL;NULL;NULL;FALSE;;
167;Sapping;20120;NULL;NULL;NULL;FALSE;;
168;Women's Traditional Architecture;20121;30088;40087;NULL;TRUE;;
169;Women's Traditional Architecture;20121;30089;40088;NULL;TRUE;;
170;Women's Traditional Architecture;20121;30090;40089;60027;TRUE;;
171;Women's Traditional Architecture;20121;30091;40090;NULL;TRUE;;
172;Women's Traditional Architecture;20121;30092;40091;60028;TRUE;;
173;Women's Traditional Architecture;20121;30093;40092;NULL;TRUE;;
174;Women's Traditional Architecture;20121;30094;40093;60027;TRUE;;
175;Women's Traditional Architecture;20121;30095;40094;60029;TRUE;;
176;Women's Traditional Architecture;20121;30096;40095;NULL;TRUE;;
177;Women's Traditional Architecture;20121;30097;40096;NULL;TRUE;;
178;Magic Songs;20130;NULL;NULL;NULL;FALSE;;
179;A Black American's African Diary;20129;NULL;NULL;NULL;FALSE;;
180;Correspondence between Jacki Apple and Martha Wilson: 1973-1974;20131;NULL;NULL;NULL;FALSE;;
181;Lament on the Eve of her Daughter's Birthday;20133;NULL;NULL;NULL;FALSE;;
182;September Solitaire;20134;NULL;NULL;NULL;FALSE;;
183;Patterns of Healing and Rebirth;20136;NULL;NULL;NULL;FALSE;;
184;The Raised Voices of Women in Mid-Nineteenth Century France;20137;30007;40033;NULL;TRUE;;
185;The Raised Voices of Women in Mid-Nineteenth Century France;20137;30098;40097;NULL;TRUE;;
186;The Raised Voices of Women in Mid-Nineteenth Century France;20137;30099;40098;NULL;TRUE;;
187;The Raised Voices of Women in Mid-Nineteenth Century France;20137;30050;40099;NULL;TRUE;;
188;The Raised Voices of Women in Mid-Nineteenth Century France;20137;30100;40100;NULL;TRUE;;
189;The Raised Voices of Women in Mid-Nineteenth Century France;20137;30100;40101;NULL;TRUE;;
190;The Raised Voices of Women in Mid-Nineteenth Century France;20137;30125;40118;NULL;TRUE;;
191;The Raised Voices of Women in Mid-Nineteenth Century France;20137;30126;40119;NULL;TRUE;;
192;The Raised Voices of Women in Mid-Nineteenth Century France;20137;30127;40120;NULL;TRUE;;
193;The Raised Voices of Women in Mid-Nineteenth Century France;20137;30128;40121;NULL;TRUE;;
194;The Raised Voices of Women in Mid-Nineteenth Century France;20137;30129;40122;NULL;TRUE;;
195;The Raised Voices of Women in Mid-Nineteenth Century France;20137;30126;40123;NULL;TRUE;;
196;The Raised Voices of Women in Mid-Nineteenth Century France;20137;30127;40124;NULL;TRUE;;
197;The Raised Voices of Women in Mid-Nineteenth Century France;20137;30127;40125;NULL;TRUE;;
198;The Raised Voices of Women in Mid-Nineteenth Century France;20137;30127;40126;NULL;TRUE;;
199;Twenty-Seven Personal Records;20139;NULL;NULL;NULL;FALSE;;
200;Women and Anarchy;20140;30050;40050;NULL;TRUE;;
201;Women and Anarchy;20140;30130;40127;NULL;TRUE;;
202;Women and Anarchy;20140;30131;40128;NULL;TRUE;;
203;Women and Anarchy;20140;30132;40129;NULL;TRUE;;
204;Women and Anarchy;20140;30053;40053;NULL;TRUE;;
205;Women and Anarchy;20140;30133;40130;NULL;TRUE;;
206;Women and Anarchy;20140;30050;40099;NULL;TRUE;;
207;Women and Anarchy;20140;30134;40131;NULL;TRUE;;
208;Women and Anarchy;20140;30134;40132;60035;TRUE;;
209;Women and Anarchy;20140;30135;40133;NULL;TRUE;;
210;Women and Anarchy;20140;30136;40134;NULL;TRUE;;
211;Women and Anarchy;20140;30137;40135;60036;TRUE;;
212;Women and Anarchy;20140;30138;40136;NULL;TRUE;;
213;Women and Anarchy;20140;30139;40137;NULL;TRUE;;
214;Women and Anarchy;20140;30140;40138;60037;TRUE;;
215;Women and Anarchy;20140;30141;40139;60038;TRUE;;
216;Women and Anarchy;20140;30142;40140;NULL;TRUE;;
217;Ways of Change Reconsidered: An Outline and Commentary on Women and Peace in Northern Ireland;20147;30143;40141;60039;TRUE;;
218;Ways of Change Reconsidered: An Outline and Commentary on Women and Peace in Northern Ireland;20147;30144;40142;NULL;TRUE;;
219;Ways of Change Reconsidered: An Outline and Commentary on Women and Peace in Northern Ireland;20147;30145;40143;NULL;TRUE;;
220;Ways of Change Reconsidered: An Outline and Commentary on Women and Peace in Northern Ireland;20147;30146;40144;60040;TRUE;;
221;Ways of Change Reconsidered: An Outline and Commentary on Women and Peace in Northern Ireland;20147;30147;40145;NULL;TRUE;;
222;Ways of Change Reconsidered: An Outline and Commentary on Women and Peace in Northern Ireland;20147;30148;40146;NULL;TRUE;;
223;Prose Poems for Old Women;20149;NULL;NULL;NULL;FALSE;;
224;Homeless Women;20150;NULL;NULL;NULL;TRUE;;
225;She Sees Herself A New Woman Everyday;20151;NULL;NULL;NULL;FALSE;;
226;Compartments;20152;NULL;NULL;NULL;FALSE;;
227;From the Pink and Yellow Books;20153;NULL;NULL;NULL;FALSE;;
228;Locus Up One;21616;NULL;NULL;NULL;FALSE;;
229;Two From Short Stories and Love Songs;20154;NULL;NULL;NULL;FALSE;;
230;Birthday Party;20156;NULL;NULL;NULL;FALSE;;
231;Pat Smith and Friend;20157;NULL;NULL;NULL;FALSE;;
232;Spring;20158;NULL;NULL;NULL;FALSE;;
233;Bloomingdale's;20159;NULL;NULL;NULL;FALSE;;
234;Interactional Shitwork;20160;30149;40147;60041;TRUE;;
235;Interactional Shitwork;20160;30150;40147;60041;TRUE;;
236;Interactional Shitwork;20160;30151;40147;60041;TRUE;;
237;Interactional Shitwork;20160;30149;40148;60042;TRUE;;
238;Needle;20161;NULL;NULL;NULL;FALSE;;
239;Archway;21617;NULL;NULL;NULL;FALSE;;
240;Hewing the Wood and Drawing the Water: Women and Film in Colonized Canada;20162;NULL;NULL;NULL;TRUE;;
241;Les Echelles 1975;20164;NULL;NULL;NULL;TRUE;;
242;A Feminist Monument (For Marion Mahony);20165;NULL;NULL;NULL;TRUE;;
243;Skyscraper Seduction Skyscraper Rape;20166;30152;40149;60043;TRUE;;
244;Skyscraper Seduction Skyscraper Rape;20166;30153;40150;60044;TRUE;;
245;Skyscraper Seduction Skyscraper Rape;20166;30154;40151;60045;TRUE;;
246;Skyscraper Seduction Skyscraper Rape;20166;30155;40152;60046;TRUE;;
247;Skyscraper Seduction Skyscraper Rape;20166;30156;40152;60046;TRUE;;
248;Skyscraper Seduction Skyscraper Rape;20166;30157;40153;60047;TRUE;;
249;Skyscraper Seduction Skyscraper Rape;20166;30158;40154;NULL;TRUE;;
250;Skyscraper Seduction Skyscraper Rape;20166;30159;40155;60048;TRUE;;
251;Skyscraper Seduction Skyscraper Rape;20166;30160;40156;60049;TRUE;;
252;Skyscraper Seduction Skyscraper Rape;20166;30161;40157;NULL;TRUE;;
253;Skyscraper Seduction Skyscraper Rape;20166;30162;40158;NULL;TRUE;;
254;Skyscraper Seduction Skyscraper Rape;20166;30163;40159;60050;TRUE;;
255;Skyscraper Seduction Skyscraper Rape;20166;30164;40160;60051;TRUE;;
256;Skyscraper Seduction Skyscraper Rape;20166;30166;40162;NULL;TRUE;;
257;Skyscraper Seduction Skyscraper Rape;20166;30167;40162;NULL;TRUE;;
258;Skyscraper Seduction Skyscraper Rape;20166;30165;40161;NULL;TRUE;;
259;Skyscraper Seduction Skyscraper Rape;20166;30168;40163;60052;TRUE;;
260;Skyscraper Seduction Skyscraper Rape;20166;30169;40164;60053;TRUE;;
261;Skyscraper Seduction Skyscraper Rape;20166;30170;40165;NULL;TRUE;;
262;Skyscraper Seduction Skyscraper Rape;20166;30171;40167;NULL;TRUE;;
263;Skyscraper Seduction Skyscraper Rape;20166;30172;40168;NULL;TRUE;;
264;Skyscraper Seduction Skyscraper Rape;20166;30173;40168;NULL;TRUE;;
265;Skyscraper Seduction Skyscraper Rape;20166;30174;40169;60055;TRUE;;
266;Skyscraper Seduction Skyscraper Rape;20166;30175;40170;60056;TRUE;;
267;Skyscraper Seduction Skyscraper Rape;20166;30176;40171;60057;TRUE;;
268;Skyscraper Seduction Skyscraper Rape;20166;30177;40172;60058;TRUE;;
269;Women's Fantasy Environments: Notes on a Project in Process;20174;NULL;NULL;NULL;TRUE;;
270;"The "" 'I am Heathcliffe, says Catherine' "" Syndrome";20175;30178;40173;60059;TRUE;;
271;"The "" 'I am Heathcliffe, says Catherine' "" Syndrome";20175;30179;40174;NULL;TRUE;;
272;"The "" 'I am Heathcliffe, says Catherine' "" Syndrome";20175;30180;40175;NULL;TRUE;;
273;"The "" 'I am Heathcliffe, says Catherine' "" Syndrome";20175;30181;40176;NULL;TRUE;;
274;"The "" 'I am Heathcliffe, says Catherine' "" Syndrome";20175;30182;40177;NULL;TRUE;;
275;"The "" 'I am Heathcliffe, says Catherine' "" Syndrome";20175;30183;40177;NULL;TRUE;;
276;"The "" 'I am Heathcliffe, says Catherine' "" Syndrome";20175;30184;40178;60060;TRUE;;
277;"The "" 'I am Heathcliffe, says Catherine' "" Syndrome";20175;30185;40178;60060;TRUE;;
278;"The "" 'I am Heathcliffe, says Catherine' "" Syndrome";20175;30186;40179;NULL;TRUE;;
279;"The "" 'I am Heathcliffe, says Catherine' "" Syndrome";20175;30187;40180;60061;TRUE;;
280;"The "" 'I am Heathcliffe, says Catherine' "" Syndrome";20175;30188;40181;NULL;TRUE;;
281;"The "" 'I am Heathcliffe, says Catherine' "" Syndrome";20175;30189;40182;NULL;TRUE;;
282;"The "" 'I am Heathcliffe, says Catherine' "" Syndrome";20175;30007;40033;NULL;TRUE;;
283;"The "" 'I am Heathcliffe, says Catherine' "" Syndrome";20175;30190;40183;NULL;TRUE;;
284;Excerpts from performance Americana I Ching Apple Pie;20176;NULL;NULL;NULL;FALSE;;
285;untitled;21618;NULL;NULL;NULL;FALSE;;
286;Additional Meanings: Forgiveness= 139;20177;NULL;NULL;NULL;FALSE;;
287;Opening Night;20178;NULL;NULL;NULL;FALSE;;
288;Sleight of Hand Series;20179;NULL;NULL;NULL;FALSE;;
289;Galileo Works;20180;NULL;NULL;NULL;FALSE;;
290;Recollections of My Life with Diaghilev;20181;NULL;NULL;NULL;FALSE;;
291;Political Consciousness (A Dialogue);21619;NULL;NULL;NULL;FALSE;;
292;Trickster;20182;NULL;NULL;NULL;FALSE;;
293;La Femme et le barbu;20183;NULL;NULL;NULL;FALSE;;
294;Negating the Negative;21620;NULL;NULL;NULL;FALSE;;
295;Berlin: The Column of Victory;20184;NULL;NULL;NULL;FALSE;;
296;untitled;21621;NULL;NULL;NULL;FALSE;;
297;Doing the Laundry: The Sorting of the Sox;20186;NULL;NULL;NULL;FALSE;;
298;3rd Issue Collective Statement;21622;NULL;NULL;NULL;TRUE;;
299;From The Lesbian Issue Collective;20188;NULL;NULL;NULL;TRUE;;
300;Queen of the Gypsies at Norwood;20190;NULL;NULL;NULL;FALSE;;
301;What we mean to say: Notes Towards Defining the Nature of Lesbian Literature;20189;NULL;NULL;NULL;TRUE;;
302;Female Monster with two heads;20191;NULL;NULL;NULL;FALSE;;
303;Opera Omnia Monstrorum Historia;20192;NULL;NULL;NULL;FALSE;;
304;Wonder Woman;20193;NULL;NULL;NULL;FALSE;;
305;The enemies of She Who call her various names;20194;NULL;NULL;NULL;FALSE;;
306;7000 Year Old Woman. Performance #2, a street event, fully clothed.;20195;NULL;NULL;NULL;FALSE;;
307;The 7000 Year Old Woman;20196;NULL;NULL;NULL;TRUE;;
308;7000 Year Old Woman. Performance #2, giving bags away;20197;NULL;NULL;NULL;FALSE;;
309;7000 Year Old Woman. Performance #2, end of event;20198;NULL;NULL;NULL;FALSE;;
310;they're always curious;20199;NULL;NULL;NULL;FALSE;;
311;THE TAPES;20200;30191;40184;60062;FALSE;;
312;Eighty year old woman photographer from New Hampshire;21623;NULL;NULL;NULL;FALSE;;
313;International Women's Year Conference, Mexico City, 1975;21624;NULL;NULL;NULL;FALSE;;
314;Feminist Publishing: An Antiquated Form?;20202;NULL;NULL;NULL;FALSE;;
316;Alice Austen's World;20204;NULL;NULL;NULL;TRUE;;
317;CLASS NOTES;20211;30192;40185;NULL;TRUE;;
318;CLASS NOTES;20211;11232;40186;60063;TRUE;;
319;CLASS NOTES;20211;30193;40187;60064;TRUE;;
320;CLASS NOTES;20211;30194;40188;60065;TRUE;;
321;CLASS NOTES;20211;30195;40189;NULL;TRUE;;
322;Photograph;20212;NULL;NULL;NULL;FALSE;;
323;untitled;21625;NULL;NULL;NULL;TRUE;;
324;Gaslight;20214;NULL;NULL;NULL;FALSE;;
325;untitled;21626;NULL;NULL;NULL;TRUE;;
326;American Beauties;20215;NULL;NULL;NULL;FALSE;;
327;untitled;21627;NULL;NULL;NULL;TRUE;;
328;Living With Chaos;21628;NULL;NULL;NULL;FALSE;;
329;Egg and Dart;20216;NULL;NULL;NULL;FALSE;;
330;God Giving Birth;20217;NULL;NULL;NULL;FALSE;;
331;Autoerotic Bowl;20218;NULL;NULL;NULL;FALSE;;
332;untitled;21629;NULL;NULL;NULL;TRUE;;
333;untitled;21630;NULL;NULL;NULL;TRUE;;
334;untitled;21631;NULL;NULL;NULL;TRUE;;
335;Marty's Cool Blue House;20219;NULL;NULL;NULL;FALSE;;
336;untitled;21632;NULL;NULL;NULL;FALSE;;
337;Untitled;21633;NULL;NULL;NULL;FALSE;;
338;Some Unsaid Things;20222;NULL;NULL;NULL;FALSE;;
339;Conditions for Work: The Common World of Women;20223;30196;40190;NULL;TRUE;;
340;Conditions for Work: The Common World of Women;20223;30197;40191;60066;TRUE;;
341;Conditions for Work: The Common World of Women;20223;30195;40192;NULL;TRUE;;
342;Conditions for Work: The Common World of Women;20223;30198;40193;NULL;TRUE;;
343;Conditions for Work: The Common World of Women;20223;30199;40194;NULL;TRUE;;
344;Conditions for Work: The Common World of Women;20223;30200;40195;NULL;TRUE;;
345;Conditions for Work: The Common World of Women;20223;30199;40196;NULL;TRUE;;
346;Conditions for Work: The Common World of Women;20223;30195;40197;NULL;TRUE;;
347;Sometimes, as a child;20225;NULL;NULL;NULL;FALSE;;
348;Artemis;20226;NULL;NULL;NULL;FALSE;;
349;Texts and Photographs from Projects, Films, and Performance;20227;NULL;NULL;NULL;FALSE;;
350;untitled;21635;NULL;NULL;NULL;FALSE;;
351;Natalie Barney on Renee Vivien;20229;NULL;NULL;NULL;TRUE;;
352;It's Good to Have Limits;20230;NULL;NULL;NULL;FALSE;;
353;Rest Heap;20231;NULL;NULL;NULL;FALSE;;
354;Conch;20232;NULL;NULL;NULL;FALSE;;
355;How Do I Do It: Cautionary Advice From A Lesbian Painter;20233;NULL;NULL;NULL;TRUE;;
356;Wall Form;20234;NULL;NULL;NULL;FALSE;;
357;Anatomy of Bonellia Viridis;20235;NULL;NULL;NULL;FALSE;;
358;untitled;21635;NULL;NULL;NULL;FALSE;;
359;untitled;21636;NULL;NULL;NULL;FALSE;;
360;Architectural Icon: The Shrine, The Votive, The Gesture;20236;NULL;NULL;NULL;TRUE;;
361;Ohio Relic Quilt;20237;NULL;NULL;NULL;FALSE;;
362;Growing Up A Painter;20238;NULL;NULL;NULL;TRUE;;
363;Domestic Scene;20239;NULL;NULL;NULL;FALSE;;
364;The Woman's Building;20240;NULL;NULL;NULL;FALSE;;
365;Ressurrection – Self-Portrait as the Sacred Heart;20241;NULL;NULL;NULL;FALSE;;
366;Paula Becker to Clara Westhoff;20242;NULL;NULL;NULL;FALSE;;
