row;author;author_id;work_id;referenced_author_id;referenced_work_id;referenced_source_id;ic_id
48;Duncan, Carol;10024;20027;30011;40032;60008;50000
49;Duncan, Carol;10024;20027;30007;40033;0;50000
50;Duncan, Carol;10024;20027;30012;40034;60009;50000
51;Duncan, Carol;10024;20027;30013;40035;0;50000
52;Duncan, Carol;10024;20027;30035;40036;0;50000
53;Delacroix, Eugene;10025;20028;0;0;0;50000
54;Ingres, J.D.;10026;20029;0;0;0;50000
55;Powers, Hiram;10027;20030;0;0;0;50000
56;Munch, Edvard;10028;20031;0;0;0;50000
57;Kooning, William de;10029;20032;0;0;0;50000
58;Miro, Joan;10030;20033;0;0;0;50000
59;Picasso, Pablo;10031;20034;0;0;0;50000
60;Vlaminck, Maurice;10032;20035;0;0;0;50000
61;Dongen, Kees van;10033;20036;0;0;0;50000
62;Bourgeois, Louise;10034;20038;0;0;0;50000
63;Marisol;10035;21583;0;0;0;50000
64;Shapiro, Ann Leda;10036;20039;0;0;0;50000
65;Attie, Dotty;10037;20040;0;0;0;50000
66;Semmel, Joan;10038;20041;0;0;0;50000
67;Steckel, Anita;10039;20042;0;0;0;50000
68;Yankowitz, Susan;10040;20043;0;0;0;50000
69;Cortez, Jayne;10041;20044;0;0;0;50000
70;Spero, Nancy;10042;20045;0;0;0;50000
71;Spero, Nancy;10042;20046;0;0;0;50000
72;Clausen, Jan;10043;20047;0;0;0;50000
73;LeSueur, Meridel;10044;20048;0;0;0;50000
74;Saxe, Susan;10045;20049;0;0;0;50000
75;no name;11164;20051;0;0;0;50000
76;no name;11165;20052;0;0;0;50000
77;no name;11166;20053;0;0;0;50000
78;no name;11167;20054;0;0;0;50000
79;Hammond, Harmony;10046;20055;30036;40037;60010;50000
80;Hammond, Harmony;10046;20055;30037;40037;0;50000
81;Hammond, Harmony;10046;20055;30038;40038;60014;50000
82;Hammond, Harmony;10046;20055;30039;40039;60012;50000
83;Hammond, Harmony;10046;20055;30040;40040;60013;50000
84;Hammond, Harmony;10046;20055;30041;40041;60016;50000
85;Hammond, Harmony;10046;20055;30042;40042;0;50000
86;Hammond, Harmony;10046;20055;30043;40043;0;50000
87;Snider, Jenny;10047;20056;0;0;0;50000
88;Fishman, Louise;10048;20057;0;0;0;50000
89;Snyder, Joan;10049;20058;0;0;0;50000
90;Iskin, Ruth E.;10050;20059;30044;40044;0;50000
91;Iskin, Ruth E.;10050;20059;30045;40045;0;50000
92;Sheer, Sherie;10051;20060;0;0;0;50000
93;Youdelman, Nancy;10052;20061;0;0;0;50000
94;Wilding, Faith;10053;20062;0;0;0;50000
95;Lacy, Suzanne;10054;20063;0;0;0;50000
96;Carson, Karen;10055;20064;0;0;0;50000
97;Carson, Karen;10055;20065;0;0;0;50000
98;Carson, Karen;10055;20066;0;0;0;50000
99;Edelson, Mary Beth;10056;20067;0;0;0;50000
100;Sillman, Amy;10057;20068;0;0;0;50000
101;Lippard, Lucy R.;10058;20069;30082;40082;0;50000
102;Lippard, Lucy R.;10058;20069;30083;40082;0;50000
103;Lippard, Lucy R.;10058;20069;30047;40047;60018;50000
104;Lippard, Lucy R.;10058;20069;30048;40048;0;50000
105;Lippard, Lucy R.;10058;20069;30049;40049;60019;50000
106;Lippard, Lucy R.;10058;20069;30050;40050;0;50000
107;Friedrich, Su;10059;20070;0;0;0;50000
108;Braderman, Joan;10001;20071;30051;40051;60020;50000
109;Braderman, Joan;10001;20071;30050;40050;0;50000
110;Braderman, Joan;10001;20071;30052;40052;0;50000
111;Braderman, Joan;10001;20071;30053;40053;0;50000
112;Braderman, Joan;10001;20071;30054;40054;60021;50000
113;Braderman, Joan;10001;20071;30055;40055;0;50000
114;Braderman, Joan;10001;20071;30056;40056;0;50000
115;Reichert, Julia;10060;20072;0;0;0;50000
116;Newmarch, Ann;10062;20074;0;0;0;50000
117;Progressive Art Movement;10063;20075;0;0;0;50000
118;Robertson, Toni;10064;20076;0;0;0;50000
119;Jennings, Kate;10065;20077;0;0;0;50000
120;Friedrich, Su;10059;20079;0;0;0;50000
121;Snyder, Suellen;10066;20078;0;0;0;50000
122;Accion para la Liberacion de la Mujer Peruana;10067;20080;0;0;0;50000
123;Rivolta Femminile;10068;20081;0;0;0;50000
124;Shakur, Assata;10069;20082;0;0;0;50000
125;Pottenger, Marty;10070;20083;0;0;0;50000
126;Sweeney, Pat;10072;20084;0;0;0;50000
127;Lockhart, Bonnie;10074;20086;0;0;0;50000
128;Leifer, Laurie;10075;20087;0;0;0;50001
129;Metzger, Deena;10076;20088;0;0;0;50001
130;Bretteville, Sheila de;10077;20089;0;0;0;50001
131;Hirsch, Gilah;10078;20090;0;0;0;50001
132;Varo, Remedios;10079;20091;0;0;0;50001
133;Saar, Betye;10080;20092;0;0;0;50001
134;Anonymous;11168;20093;0;0;0;50001
135;Pearce, Lila;10081;20094;0;0;0;50001
136;Kahlo, Frida;10082;20095;0;0;0;50001
137;Chicago, Judy;10083;20096;0;0;0;50001
138;Metzger, Deena;10076;21584;0;0;0;50001
139;Henes, Donna;10084;20097;0;0;0;50001
140;Jonas, Joan;10085;20098;0;0;0;50001
141;Heinemann, Sue;10086;20099;30058;40058;60022;50001
142;Heinemann, Sue;10086;20099;30059;40059;60023;50001
143;Heinemann, Sue;10086;20099;30060;40059;0;50001
144;Heinemann, Sue;10086;20099;30058;40060;0;50001
145;Heinemann, Sue;10086;20099;30061;40062;0;50001
146;Issue 1 Collective;11169;21585;0;0;0;50000
147;Issue 2 Collective;11170;21586;0;0;0;50001
148;Heinemann, Sue;10086;20099;30084;40083;60025;50001
149;Heinemann, Sue;10086;20099;30085;40084;60026;50001
150;Heinemann, Sue;10086;20099;30086;40085;0;50001
151;Heinemann, Sue;10086;20099;30087;40086;0;50001
152;Bernardez-Bonesatti, Teresa;10087;20100;0;0;0;50001
153;Schapiro, Miriam;10088;20101;0;0;0;50001
154;Schapiro, Miriam;10088;20102;0;0;0;50001
155;Markovitz, Sherry;10089;20103;0;0;0;50001
156;Lippard, Lucy R.;10058;20104;0;0;0;50001
157;Rainer, Yvonne;10090;20105;0;0;0;50001
158;Friedrich, Su;10059;20106;0;0;0;50001
159;Aycock, Alice;10091;20108;0;0;0;50001
160;Pinto, Jody;10092;20109;0;0;0;50001
161;Hemenway, Audrey;10093;20110;0;0;0;50001
162;Kusama, Yayoi;10094;20111;0;0;0;50001
163;Weisbord, Mimi;10095;20112;0;0;0;50001
164;Lanyon, Ellen;10096;20113;0;0;0;50001
165;Borstein, Elena;10097;20114;0;0;0;50001
166;Mouraud, Tania;10098;20115;0;0;0;50001
167;Thea, Carolee;10099;20116;0;0;0;50001
168;Johanson, Patricia;10100;20117;0;0;0;50001
169;Mangold, Sylvia Plimack;10101;20118;0;0;0;50001
170;Colette;10102;20119;0;0;0;50001
171;Miss, Mary;10103;20120;0;0;0;50001
172;Weatherford, Elizabeth;10104;20121;30088;40087;0;50001
173;Weatherford, Elizabeth;10104;20121;30089;40088;0;50001
174;Weatherford, Elizabeth;10104;20121;30090;40089;60027;50001
175;Weatherford, Elizabeth;10104;20121;30091;40090;;50001
176;Weatherford, Elizabeth;10104;20121;30092;40091;60028;50001
177;Weatherford, Elizabeth;10104;20121;30093;40092;0;50001
178;Weatherford, Elizabeth;10104;20121;30094;40093;60027;50001
179;Weatherford, Elizabeth;10104;20121;30095;40094;60029;50001
180;Weatherford, Elizabeth;10104;20121;30096;40095;0;50001
181;Weatherford, Elizabeth;10104;20121;30097;40096;0;50001
182;Twitty, Anne;10106;20130;0;0;0;50001
183;Pindell, Howardena;10105;20129;0;0;0;50001
184;Wilson, Martha;10107;20131;0;0;0;50001
185;Apple, Jacki;10108;20131;0;0;0;50001
186;Leontief, Estelle;10110;20133;0;0;0;50001
187;Lauterbach, Ann;10111;20134;0;0;0;50001
188;Orenstein, Claudia;10114;20136;0;0;0;50001
189;Nin, Anais;10115;20136;0;0;0;50001
190;Orenstein, Gloria;10280;20136;0;0;0;50001
191;Rentmeister, Cacilia;10116;20137;30007;40033;0;50001
192;Rentmeister, Cacilia;10116;20137;30098;40097;0;50001
193;Rentmeister, Cacilia;10116;20137;30099;40098;0;50001
194;Rentmeister, Cacilia;10116;20137;30050;40099;0;50001
195;Rentmeister, Cacilia;10116;20137;30100;40101;0;50001
196;Rentmeister, Cacilia;10116;20137;30125;40118;0;50001
197;Rentmeister, Cacilia;10116;20137;30126;40119;0;50001
198;Rentmeister, Cacilia;10116;20137;30127;40120;0;50001
199;Rentmeister, Cacilia;10116;20137;30128;40121;0;50001
200;Rentmeister, Cacilia;10116;20137;30129;40122;0;50001
201;Rentmeister, Cacilia;10116;20137;30126;40123;0;50001
202;Rentmeister, Cacilia;10116;20137;30127;40124;0;50001
203;Rentmeister, Cacilia;10116;20137;30127;40125;0;50001
204;Rentmeister, Cacilia;10116;20137;30127;40126;0;50001
205;Newman, Kristen;11203;20139;0;0;0;50001
206;Snyder, Joan;10049;20139;0;0;0;50001
207;Brentano, Robyn;11204;20139;0;0;0;50001
208;Sternburg, Janet;11205;20139;0;0;0;50001
209;Hammond, Harmony;10046;20139;0;0;0;50001
210;Tavins, Paula;11206;20139;0;0;0;50001
211;Snider, Amy;11207;20139;0;0;0;50001
212;Azara, Nancy;10255;20139;0;0;0;50001
213;Draney, Sarah;11208;20139;0;0;0;50001
214;Potoff, Reeva;11209;20139;0;0;0;50001
215;Wilson, Ann;10181;20139;0;0;0;50001
216;Le Compte, Elizabeth;11210;20139;0;0;0;50001
217;Monk, Meredith;11211;20139;0;0;0;50001
218;Morton, Ree;11212;20139;0;0;0;50001
219;Graves, Nancy;11213;20139;0;0;0;50001
220;Akalaites, Joanne;11214;20139;0;0;0;50001
221;Amateau, Michelle;11215;20139;0;0;0;50001
222;Dennis, Donna;10525;20139;0;0;0;50001
223;Castoro, Rosemarie;11216;20139;0;0;0;50001
224;Stoltz, Susan;11217;20139;0;0;0;50001
225;Helman, Phoebe;11218;20139;0;0;0;50001
226;Lasch, Pat;11219;20139;0;0;0;50001
227;Snider, Jenny;10047;20139;0;0;0;50001
228;Shor, Mira;11220;20139;0;0;0;50001
229;Schneemann, Carolee;10138;20139;0;0;0;50001
230;Skipitares, Theodora;11221;20139;0;0;0;50001
231;Lederman, Stephanie Brody;11222;20139;0;0;0;50001
232;Borden, Lizzie;10118;20140;30050;40050;0;50001
233;Borden, Lizzie;10118;20140;30130;40127;0;50001
234;Borden, Lizzie;10118;20140;30131;40128;0;50001
235;Borden, Lizzie;10118;20140;30132;40129;0;50001
236;Borden, Lizzie;10118;20140;30053;40053;0;50001
237;Borden, Lizzie;10118;20140;30133;40130;0;50001
238;Borden, Lizzie;10118;20140;30050;40099;0;50001
239;Borden, Lizzie;10118;20140;30134;40131;0;50001
240;Borden, Lizzie;10118;20140;30134;40132;60035;50001
241;Borden, Lizzie;10118;20140;30135;40133;0;50001
242;Borden, Lizzie;10118;20140;30136;40134;0;50001
243;Borden, Lizzie;10118;20140;30137;40135;60036;50001
244;Borden, Lizzie;10118;20140;30138;40136;0;50001
245;Borden, Lizzie;10118;20140;30139;40137;0;50001
246;Borden, Lizzie;10118;20140;30140;40138;60037;50001
247;Borden, Lizzie;10118;20140;30141;40139;60038;50001
248;Borden, Lizzie;10118;20140;30142;40140;0;50001
249;Charlesworth, Sarah;10119;20147;30143;40141;60039;50001
250;Charlesworth, Sarah;10119;20147;30144;40142;0;50001
251;Charlesworth, Sarah;10119;20147;30145;40143;0;50001
252;Charlesworth, Sarah;10119;20147;30146;40144;60040;50001
253;Charlesworth, Sarah;10119;20147;30147;40145;0;50001
254;Charlesworth, Sarah;10119;20147;30148;40146;0;50001
255;Stevens, May;10016;20149;0;0;0;50001
256;Rousseau, Ann Marie;10120;20150;0;0;0;50001
257;Rosler, Martha;10004;20151;0;0;0;50001
258;Abbe, Cate;10121;20152;0;0;0;50001
259;Johnson, Poppy;10123;20153;0;0;0;50001
260;Harris, Suzanne;11223;21616;0;0;0;50001
261;Steir, Pat;10124;20154;0;0;0;50001
262;Neiman, Roberta;10125;20156;0;0;0;50001
263;Neiman, Roberta;10126;20157;0;0;0;50001
264;Neiman, Roberta;10127;20158;0;0;0;50001
265;Neiman, Roberta;10128;20159;0;0;0;50001
266;Fishman, Pamela M.;10126;20160;30149;40147;60041;50001
267;Fishman, Pamela M.;10126;20160;30150;40147;60041;50001
268;Fishman, Pamela M.;10126;20160;30151;40147;60041;50001
269;Fishman, Pamela M.;10126;20160;30149;40148;60042;50001
270;Green, Denise;10127;20161;0;0;0;50001
271;Green, Denise;10127;21617;0;0;0;50001
272;Lister, Ardele;10128;20162;0;0;0;50001
273;Agrest, Diana;10129;20164;0;0;0;50001
274;Torre, Susana;10130;20165;0;0;0;50001
275;Hayden, Dolores;10131;20166;30152;40149;60043;50001
276;Hayden, Dolores;10131;20166;30153;40150;60044;50001
277;Hayden, Dolores;10131;20166;30154;40151;60045;50001
278;Hayden, Dolores;10131;20166;30155;40152;60046;50001
279;Hayden, Dolores;10131;20166;30156;40152;60046;50001
280;Hayden, Dolores;10131;20166;30157;40153;60047;50001
281;Hayden, Dolores;10131;20166;30158;40154;0;50001
282;Hayden, Dolores;10131;20166;30159;40155;60048;50001
283;Hayden, Dolores;10131;20166;30160;40156;60049;50001
284;Hayden, Dolores;10131;20166;30161;40157;0;50001
285;Hayden, Dolores;10131;20166;30162;40158;0;50001
286;Hayden, Dolores;10131;20166;30163;40159;60050;50001
287;Hayden, Dolores;10131;20166;30164;40160;60051;50001
288;Hayden, Dolores;10131;20166;30165;40161;0;50001
289;Hayden, Dolores;10131;20166;30166;40162;0;50001
290;Hayden, Dolores;10131;20166;30167;40162;0;50001
291;Hayden, Dolores;10131;20166;30168;40163;60052;50001
292;Hayden, Dolores;10131;20166;30169;40164;60053;50001
293;Hayden, Dolores;10131;20166;30170;40165;0;50001
294;Hayden, Dolores;10131;20166;30171;40167;0;50001
295;Hayden, Dolores;10131;20166;30172;40168;0;50001
296;Hayden, Dolores;10131;20166;30173;40168;0;50001
297;Hayden, Dolores;10131;20166;30174;40169;60055;50001
298;Hayden, Dolores;10131;20166;30175;40170;60056;50001
299;Hayden, Dolores;10131;20166;30176;40171;60057;50001
300;Hayden, Dolores;10131;20166;30177;40172;60058;50001
301;Birkby, Noel Phyllis;10135;20174;0;0;0;50001
302;Weisman, Leslie Kanes;10136;20174;0;0;0;50001
303;Applebroog, Ida;10137;20175;30178;40173;60059;50001
304;Applebroog, Ida;10137;20175;30179;40174;0;50001
305;Applebroog, Ida;10137;20175;30180;40175;0;50001
306;Applebroog, Ida;10137;20175;30181;40176;0;50001
307;Applebroog, Ida;10137;20175;30182;40177;0;50001
308;Applebroog, Ida;10137;20175;30183;40177;0;50001
309;Applebroog, Ida;10137;20175;30184;40178;60060;50001
310;Applebroog, Ida;10137;20175;30185;40178;60060;50001
311;Applebroog, Ida;10137;20175;30186;40179;0;50001
312;Applebroog, Ida;10137;20175;30187;40180;60061;50001
313;Applebroog, Ida;10137;20175;30188;40181;0;50001
314;Applebroog, Ida;10137;20175;30189;40182;0;50001
315;Applebroog, Ida;10137;20175;30007;40033;0;50001
316;Applebroog, Ida;10137;20175;30190;40183;0;50001
317;Schneemann, Carolee;10138;20176;0;0;0;50001
318;Conde, Carol;10139;21618;0;0;0;50001
319;Shaw, Karen;10140;20177;0;0;0;50001
320;Sonneman, Eve;10141;20178;0;0;0;50001
321;"Matthews, Sandra	";10142;20179;0;0;0;50001
322;Applebroog, Ida;10137;20180;0;0;0;50001
323;Antin, Eleanor;10143;20181;0;0;0;50001
324;Kitchel, Nancy;11224;21619;0;0;0;50001
325;Messager, Annette;10144;20182;0;0;0;50001
326;Messager, Annette;10144;20183;0;0;0;50001
327;Kozloff, Joyce;11225;21620;0;0;0;50001
328;Rosenbach, Ulrike;10145;20184;0;0;0;50001
329;Anderson, Laurie;10146;21621;0;0;0;50001
330;Ukeles, Mierle Laderman;10147;20186;0;0;0;50001
331;Issue 3 Collective;11226;21622;0;0;0;50002
332;Carr, Cynthia;10174;20188;0;0;0;50002
333;Damon, Betsy;10153;20188;0;0;0;50002
334;Crowell, Betsy;11227;20188;0;0;0;50002
335;Pottenger, Marty;10070;20188;0;0;0;50002
336;Hammond, Harmony;10046;20188;0;0;0;50002
337;Friedrich, Su;10059;20188;0;0;0;50002
338;Webster, K.;11228;20188;0;0;0;50002
339;Fichtenholtz, Rose;11229;20188;0;0;0;50002
340;Fishman, Louise;10155;20188;0;0;0;50002
341;Sillman, Amy;10057;20188;0;0;0;50002
342;Wade, Christine;10200;20188;0;0;0;50002
343;Finch, Margaret;10150;20190;0;0;0;50002
344;Harris, Bertha;10149;20189;0;0;0;50002
345;Boaistuau, Pierre;11230;20191;0;0;0;50002
346;Aldrovandi, Ulisse;11231;20192;0;0;0;50002
347;Moulton, Charles;10151;20193;0;0;0;50002
348;Grahn, Judy;10152;20194;0;0;0;50002
349;Friedrich, Su;10059;20195;0;0;0;50002
350;Damon, Betsy;10153;20196;0;0;0;50002
351;Friedrich, Su;10059;20197;0;0;0;50002
352;Friedrich, Su;10059;20198;0;0;0;50002
353;Klepfisz, Irena;10154;20199;0;0;0;50002
354;Fishman, Louise;10155;20200;30191;40184;60062;50002
355;Lane, Bettye;10156;21623;0;0;0;50002
356;Lane, Bettye;10156;21624;0;0;0;50002
357;Bunch, Charlotte;10157;20202;0;0;0;50002
358;Novotny, Ann;10158;20204;0;0;0;50002
359;Hammond, Harmony;10046;20211;0;0;0;50002
360;Hammond, Harmony;10046;20211;11232;40186;60063;50002
361;Hammond, Harmony;10046;20211;30193;40187;60064;50002
362;Hammond, Harmony;10046;20211;30194;40188;60065;50002
363;Hammond, Harmony;10046;20211;30195;40189;0;50002
364;Skeet, Yoland;10162;20212;0;0;0;50002
365;Stedman, Jane;11233;21625;0;0;0;50002
366;King, Maryann;10163;20214;0;0;0;50002
367;Ledley, Ellen;11234;21626;0;0;0;50002
368;DeSando, Sandra;10164;20215;0;0;0;50002
369;Nestle, Joan;10549;21627;0;0;0;50002
370;Kaye, Melanie;11235;21628;0;0;0;50002
371;Helleloid, Janice;10165;20216;0;0;0;50002
372;Sjoo, Monica;10166;20217;0;0;0;50002
373;Jones, Debbie;10167;20218;0;0;0;50002
374;Kendall, Kathryn;11236;21629;0;0;0;50002
375;Broumas, Olga;10171;21630;0;0;0;50002
376;Boucher, Sandy;11237;21631;0;0;0;50002
377;Sillman, Amy;10057;20219;0;0;0;50002
378;Norman, Phylane;10168;21632;0;0;0;50002
379;Glasser, Carole;10169;21633;0;0;0;50002
380;Larkin, Joan;10170;20222;0;0;0;50002
381;Rich, Adrienne;10014;20223;30196;40190;0;50002
382;Rich, Adrienne;10014;20223;30197;40191;60066;50002
383;Rich, Adrienne;10014;20223;30195;40192;0;50002
384;Rich, Adrienne;10014;20223;30198;40193;0;50002
385;Rich, Adrienne;10014;20223;30199;40194;0;50002
386;Rich, Adrienne;10014;20223;30200;40195;0;50002
387;Rich, Adrienne;10014;20223;30199;40196;0;50002
388;Rich, Adrienne;10014;20223;30195;40197;0;50002
389;Broumas, Olga;10171;20225;0;0;0;50002
390;Broumas, Olga;10171;20226;0;0;0;50002
391;Ottinger, Ulrike;10172;20227;0;0;0;50002
392;Blumenschein, Tabea;10173;20227;0;0;0;50002
393;Carr, Cynthia;10174;21635;0;0;0;50002
394;Porter, Margaret;10175;20229;0;0;0;50002
395;Barney, Natalie;11238;20229;0;0;0;50002
396;Fishman, Louise;10048;20230;0;0;0;50002
397;Asch, Barbara;10176;20231;0;0;0;50002
398;Hammond, Harmony;10046;20232;0;0;0;50002
399;Fishman, Louise;10048;20233;0;0;0;50002
400;Stewart, Leora;10177;20234;0;0;0;50002
401;Whitworth, Sarah;10178;20235;0;0;0;50002
402;Klein, Gloria;10179;21635;0;0;0;50002
403;Nelson, Dona;10180;21636;0;0;0;50002
404;Wilson, Ann;10181;20236;0;0;0;50002
405;Wilson, Ann;10181;20237;0;0;0;50002
406;Nelson, Dona;10180;20238;0;0;0;50002
407;Millet, Kate;10182;20239;0;0;0;50002
408;Fried, Nancy;10183;20240;0;0;0;50002
409;Robinson, Dara;10184;20241;0;0;0;50002
410;Rich, Adrienne;10014;20242;0;0;0;50002
411;Bloom, Carol;10185;21637;0;0;0;50002
412;Bloom, Carol;10185;21638;0;0;0;50002
413;Hammer, Barbara;10186;20243;0;0;0;50002
414;George, Sally;10187;20244;0;0;0;50002
415;Sherman, Susan;10188;20245;0;0;0;50002
416;Waller, E.K.;10189;20246;0;0;0;50002
417;Gidlow, Elsa;10190;20247;0;0;0;50002
418;Lapidus, Jacqueline;10192;20249;0;0;0;50002
419;Reid, Frances;10193;20250;0;0;0;50002
420;Fine, Maxine;10194;20252;0;0;0;50002
421;Turner, Ellen;10195;20252;0;0;0;50002
422;Falstein, Jessica;10196;20252;0;0;0;50002
423;Rando, Flavia;10197;20252;0;0;0;50002
424;Winant, Fran;10198;20252;0;0;0;50002
425;Fine, Maxine;10194;20253;0;0;0;50002
426;Turner, Ellen;10195;20254;0;0;0;50002
427;Winant, Fran;10198;20255;0;0;0;50002
428;Falstein, Jessica;10196;21639;0;0;0;50002
429;Rando, Flavia;10197;21640;0;0;0;50002
430;Elliot, Marguerite Tupper;10199;20256;0;0;0;50002
431;Elliot, Marguerite Tupper;10199;20257;0;0;0;50002
432;Wade, Christine;10200;20258;0;0;0;50002
433;Kaplan, Flora;10201;20261;0;0;0;50003
434;Issue 4 Collective;11239;20263;0;0;0;50003
435;Friedlander, Judith;10203;20264;30201;40198;0;50003
436;Friedlander, Judith;10203;20264;30202;40199;60067;50003
437;Friedlander, Judith;10203;20264;30203;40200;0;50003
438;Friedlander, Judith;10203;20264;30204;40201;0;50003
439;Friedlander, Judith;10203;20264;30205;40202;0;50003
440;Friedlander, Judith;10203;20264;30206;40203;0;50003
441;Friedlander, Judith;10203;20264;30207;40204;0;50003
442;Bovenschen, Silvia;10204;20265;30208;40205;0;50003
443;Bovenschen, Silvia;10204;20265;30209;40206;0;50003
444;Bovenschen, Silvia;10204;20265;30210;40207;60068;50003
445;Bovenschen, Silvia;10204;20265;30211;40208;0;50003
446;Bovenschen, Silvia;10204;20265;30189;40209;60069;50003
447;Bovenschen, Silvia;10204;20265;30213;40211;0;50003
448;Bovenschen, Silvia;10204;20265;30212;40210;60070;50003
449;Bovenschen, Silvia;10204;20265;30199;40212;60071;50003
450;Bovenschen, Silvia;10204;20265;30214;40213;0;50003
451;Riley, Elizabeth;10205;21641;0;0;0;50003
452;Russ, Joanna;10206;20267;0;0;0;50003
453;Ladden, Arlene;10023;20268;30021;40009;0;50003
454;Ladden, Arlene;10023;20268;30215;40214;0;50003
455;Ladden, Arlene;10023;20268;30018;40001;0;50003
456;Ladden, Arlene;10023;20268;30019;40001;0;50003
457;Ladden, Arlene;10023;20268;30216;40215;60072;50003
458;Ladden, Arlene;10023;20268;30217;40216;0;50003
459;Ladden, Arlene;10023;20268;30218;40217;0;50003
460;Ladden, Arlene;10023;20268;30219;40218;60073;50003
461;Ladden, Arlene;10023;20268;30220;40219;0;50003
462;Ladden, Arlene;10023;20268;30221;40220;60074;50003
463;Ladden, Arlene;10023;20268;30222;40221;0;50003
464;Ladden, Arlene;10023;20268;30223;40222;60075;50003
465;Ladden, Arlene;10023;20268;30224;40223;0;50003
466;Ladden, Arlene;10023;20268;30225;40224;0;50003
467;Ladden, Arlene;10023;20268;30226;40225;0;50003
468;Ladden, Arlene;10023;20268;30227;40226;0;50003
469;Ladden, Arlene;10023;20268;30228;40226;0;50003
470;Ladden, Arlene;10023;20268;30229;40227;0;50003
471;Ladden, Arlene;10023;20268;30230;40228;60076;50003
472;Ladden, Arlene;10023;20268;30231;40229;60077;50003
473;Ladden, Arlene;10023;20268;30232;40230;60078;50003
474;Rickey, Carrie;10207;20269;30233;40231;0;50003
475;Rickey, Carrie;10207;20269;30234;40232;0;50003
476;Rickey, Carrie;10207;20269;30235;40233;0;50003
477;Rickey, Carrie;10207;20269;30236;40234;0;50003
478;Rickey, Carrie;10207;20269;30237;40235;60079;50003
479;Rickey, Carrie;10207;20269;30238;40236;60080;50003
480;Rickey, Carrie;10207;20269;30239;40237;0;50003
481;Rickey, Carrie;10207;20269;30237;40238;0;50003
482;Rickey, Carrie;10207;20269;30240;40239;0;50003
483;Pindell, Howardena;10105;21642;0;0;0;50003
484;De Lauretis, Teresa;10208;20272;30269;40262;0;50003
485;De Lauretis, Teresa;10208;20272;30270;40263;0;50003
486;De Lauretis, Teresa;10208;20272;30271;40264;0;50003
487;De Lauretis, Teresa;10208;20272;30272;40264;0;50003
488;De Lauretis, Teresa;10208;20272;30270;40265;0;50003
489;De Lauretis, Teresa;10208;20272;30270;40266;0;50003
490;De Lauretis, Teresa;10208;20272;30208;40205;0;50003
491;De Lauretis, Teresa;10208;20272;30273;40267;0;50003
492;De Lauretis, Teresa;10208;20272;30274;40268;60095;50003
493;De Lauretis, Teresa;10208;20272;30050;40050;0;50003
494;De Lauretis, Teresa;10208;20272;30139;40137;0;50003
